school_name,school_type,osslt10,ossltchange,low_inc,no_deg,esl,imm
St. Francis Xavier (9-12) Catholic School,Catholic,87,-3,14,4,24,4
St. Mother Teresa High School,Catholic,88,2,9,2,22,7
A.Y. Jackson Secondary School,Public,86,-5,8,1,24,2
Bell High School,Public,81,1,18,7,53,14
Brookfield High School,Public,76,-2,23,10,55,13
Cairine Wilson Secondary School,Public,85,0,6,2,18,1
Canterbury High School,Public,94,3,14,5,17,3
Colonel By Secondary School,Public,98,3,10,1,38,3
Earl of March Secondary School,Public,94,2,9,1,43,6
Glebe Collegiate Institute,Public,85,-1,14,5,20,7
Gloucester High School,Public,74,0,28,10,59,20
Hillcrest High School,Public,74,-1,23,13,40,4
John McCrae Secondary School,Public,88,-4,8,2,26,1
Lisgar Collegiate Institute,Public,96,0,21,3,32,7
Longfields Davidson Heights Secondary School,Public,89,1,11,2,39,4
Merivale High School,Public,88,1,11,5,24,3
Nepean High School,Public,90,-4,13,3,15,2
Osgoode Township High School,Public,82,-9,10,0,0,0
Ridgemont High School,Public,55,-10,34,17,67,24
Sir Guy Carleton Secondary School,Public,28,-19,20,10,5,0
Sir Robert Borden High School,Public,89,3,12,5,24,1
Sir Wilfrid Laurier Secondary School,Public,83,2,7,2,30,3
South Carleton High School,Public,83,-2,6,0,5,1
West Carleton Secondary School,Public,85,-5,6,2,22,1
Woodroffe High School,Public,76,5,27,13,50,22
Applewood Heights Secondary School,Public,91,5,20,6,56,7
Bramalea Secondary School,Public,69,0,20,11,44,14
Brampton Centennial Secondary School,Public,83,6,14,6,51,4
Castlebrooke SS Secondary School,Public,86,7,12,14,69,3
Cawthra Park Secondary School,Public,87,-5,13,5,28,1
Central Peel Secondary School,Public,80,4,16,10,56,15
Chinguacousy Secondary School,Public,86,2,13,9,66,5
Clarkson Secondary School,Public,86,5,15,4,42,7
David Suzuki Secondary School,Public,76,7,13,7,51,6
Erindale Secondary School,Public,90,20,21,6,56,10
Fletcher's Meadow Secondary School,Public,81,6,11,8,55,7
Glenforest Secondary School,Public,88,-3,26,9,71,10
Harold M. Brathwaite Secondary School,Public,87,5,12,8,73,6
Heart Lake Secondary School,Public,72,-4,10,7,38,6
Humberview Secondary School,Public,85,2,6,5,21,1
Jean Augustine Secondary School,Public,83,0,12,4,64,7
John Fraser Secondary School,Public,93,1,19,1,70,16
Judith Nyman Secondary School,Public,4,3,14,10,22,1
Lincoln M. Alexander Secondary School,Public,72,14,21,19,63,13
Lorne Park Secondary School,Public,90,-5,12,3,29,1
Louise Arbour Secondary School,Public,77,-4,9,9,70,6
Mayfield Secondary School,Public,86,1,8,6,24,0
Meadowvale Secondary School,Public,79,-2,11,4,47,6
Mississauga Secondary School,Public,82,5,14,9,75,8
North Park Secondary School,Public,89,7,12,9,62,4
Port Credit Secondary School,Public,92,6,21,4,49,9
Rick Hansen Secondary School,Public,83,0,18,6,75,10
Sandalwood Heights Secondary School,Public,81,6,10,10,71,7
Stephen Lewis Secondary School,Public,87,0,22,2,78,16
Streetsville Secondary School,Public,91,-3,13,5,39,3
T. L. Kennedy Secondary School,Public,83,8,28,7,75,29
The Woodlands Secondary School,Public,93,3,19,6,63,10
Turner Fenton Secondary School,Public,84,5,14,10,58,2
West Credit Secondary School,Public,20,10,20,5,30,0
Holy Cross Catholic Secondary School,Catholic,73,4,16,4,4,1
Holy Trinity Catholic Secondary School,Catholic,78,1,5,2,3,0
St. Mary Catholic Secondary School,Catholic,76,-2,12,3,2,1
St. Peter Catholic Secondary School,Catholic,73,-9,13,3,4,3
St. Stephen Catholic Secondary School,Catholic,77,-2,8,3,3,1
St. Thomas Aquinas Catholic Secondary School,Catholic,64,-2,10,10,0,0
Chelmsford Valley District Composite School,Public,48,-6,5,0,0,0
Confederation Secondary School,Public,61,3,10,0,0,0
Espanola High School,Public,55,-18,10,10,0,0
Lasalle Secondary School,Public,69,-7,17,3,1,2
Lively District Secondary School,Public,67,-8,5,5,0,0
Lo-Ellen Park Secondary School,Public,88,3,9,1,3,1
Lockerby Composite School,Public,90,-5,11,2,3,2
Manitoulin Secondary School,Public,57,-9,10,10,0,0
Sudbury Secondary School,Public,73,-1,23,4,1,2
Atikokan High School,Public,83,7,10,0,0,0
Fort Frances High School,Public,62,0,10,9,4,0
Rainy River High School,Public,69,-8,10,10,0,0
Bishop Smith Catholic High School,Catholic,70,-15,10,5,1,0
St Joseph's High School,Catholic,83,-7,15,5,0,0
Arnprior District High School,Public,86,-1,13,3,2,0
Fellowes High School,Public,59,-13,13,4,2,1
Mackenzie Community School - Secondary School,Public,82,-2,10,5,10,0
Madawaska Valley District High School,Public,68,0,10,5,0,0
Opeongo High School,Public,67,-7,10,5,0,0
Renfrew Collegiate Institute,Public,79,16,10,10,0,0
Valour JK to 12 School - Secondary School,Public,57,-23,5,0,0,0
Banting Memorial District High School,Public,75,-13,8,5,2,1
Barrie North Collegiate Institute,Public,76,-1,17,6,5,2
Bear Creek Secondary School,Public,76,-3,9,3,7,1
Bradford District High School,Public,88,4,12,7,20,3
Collingwood Collegiate Institute,Public,89,2,15,7,3,1
Eastview Secondary School,Public,89,1,12,8,7,2
Elmvale District High School,Public,85,-8,10,0,0,0
Georgian Bay District Secondary School,Public,64,-9,12,5,2,1
Innisdale Secondary School,Public,79,-10,10,4,8,1
Nantyr Shores Secondary School,Public,84,-5,11,9,4,1
Nottawasaga Pines Secondary School,Public,65,-9,9,7,4,1
Orillia Secondary School,Public,82,6,11,7,3,1
Stayner Collegiate Institute,Public,71,-8,10,5,0,0
Twin Lakes Secondary School,Public,58,-15,12,6,2,0
Holy Trinity High School,Catholic,81,4,11,8,14,3
Jean Vanier Catholic High School,Catholic,81,8,15,5,5,0
Patrick Fogarty Secondary School,Catholic,76,-3,11,8,2,1
St Dominic Catholic Secondary School,Catholic,70,-2,10,0,5,5
St Joan of Arc High School,Catholic,70,-5,9,3,5,3
St Joseph's Separate School,Catholic,72,-8,14,9,4,3
St Peter's Secondary School,Catholic,78,1,10,6,4,1
St Theresa's Separate School,Catholic,68,-10,12,5,0,1
St Thomas Aquinas Catholic Secondary School,Catholic,74,-2,8,5,4,2
St Patrick's Catholic High School,Catholic,76,-10,12,2,1,1
Ursuline College Chatham Catholic Secondary School,Catholic,81,0,14,9,1,1
Bishop Alexander Carter Catholic Secondary School,Catholic,75,9,10,5,0,0
Marymount Academy Catholic School,Catholic,89,-3,10,0,10,0
St Benedict Catholic Secondary School,Catholic,92,7,10,5,0,0
St Charles College,Catholic,84,-3,14,3,4,2
Geraldton Composite School,Public,44,2,20,30,0,0
Lake Superior High School,Public,78,-7,10,10,0,10
Manitouwadge High School,Public,50,-9,10,10,0,0
Marathon High School,Public,52,-11,5,10,0,0
Nipigon Red Rock District High School,Public,40,-15,10,0,0,0
A B Lucas Secondary School,Public,84,0,15,3,29,4
Arthur Voaden Secondary School,Public,32,-9,25,10,0,0
Central Elgin Collegiate Institute,Public,82,-6,14,4,5,1
Clarke Road Secondary School,Public,45,-15,20,14,6,1
College Avenue Secondary School,Public,43,-17,12,8,2,0
East Elgin Secondary School,Public,68,9,10,38,20,1
Glencoe District High School,Public,63,4,25,5,0,0
Glendale High School,Public,64,-8,9,15,2,0
H B Beal Secondary School,Public,67,2,23,8,23,11
Huron Park Secondary School,Public,64,-10,9,6,5,2
Ingersoll District Collegiate Institute,Public,59,-7,9,5,1,0
London Central Secondary School,Public,97,-1,18,6,42,2
London South Collegiate Institute,Public,80,6,19,7,12,1
Lord Dorchester Secondary School,Public,82,1,5,5,0,0
Medway High School,Public,77,-3,8,1,5,1
Montcalm Secondary School,Public,41,-5,35,22,33,15
North Middlesex District High School,Public,61,-7,10,0,0,0
Oakridge Secondary School,Public,86,-3,16,3,24,4
Parkside Collegiate Institute,Public,65,-7,12,4,1,0
Saunders Secondary School,Public,61,-4,17,5,19,2
Sir Frederick Banting Secondary School,Public,82,-1,19,4,28,7
Sir Wilfrid Laurier Secondary School,Public,78,4,20,8,16,1
Strathroy District Collegiate Institute,Public,76,8,9,5,1,0
West Elgin Secondary School,Public,51,-12,10,10,0,0
Westminster Secondary School,Public,79,8,30,10,64,35
Woodstock Collegiate Institute,Public,76,-6,10,6,2,0
St Ignatius High School,Catholic,83,5,12,4,4,0
St Patrick High School,Catholic,69,-7,12,6,2,1
Bishop Allen Academy Catholic Secondary School,Catholic,92,1,14,5,28,2
Bishop Marrocco/Thomas Merton Catholic Secondary School,Catholic,93,32,25,20,51,16
Blessed Cardinal Newman Catholic School,Catholic,87,4,24,9,34,5
Brebeuf College School,Catholic,75,1,26,6,53,19
Cardinal Carter Academy for the Arts,Catholic,98,1,20,6,24,2
Chaminade College School,Catholic,81,1,20,15,27,4
Dante Alighieri Academy,Catholic,86,12,21,20,63,27
Father Henry Carr Catholic Secondary School,Catholic,73,6,29,25,32,17
Father John Redmond Catholic Secondary School,Catholic,94,4,14,5,30,1
Francis Libermann Catholic High School,Catholic,83,7,24,13,41,13
James Cardinal McGuigan Catholic High School,Catholic,54,-5,31,24,53,34
Jean Vanier Catholic Secondary School,Catholic,73,1,27,12,55,26
Loretto Abbey Catholic Secondary School,Catholic,92,3,19,6,28,5
Loretto College School,Catholic,86,16,20,15,50,15
Madonna Catholic Secondary School,Catholic,72,1,26,18,52,33
Marshall McLuhan Catholic Secondary School,Catholic,91,10,21,12,54,14
Mary Ward Catholic Secondary School,Catholic,90,-4,24,11,39,6
Michael Power/St Joseph High School,Catholic,84,1,18,7,32,5
Monsignor Percy Johnson Catholic High School,Catholic,80,11,25,20,35,13
Neil McNeil High School,Catholic,78,1,21,7,21,3
Notre Dame Catholic High School,Catholic,92,6,25,10,33,8
Senator O'Connor College School,Catholic,91,11,24,6,38,11
St John Paul II Catholic Secondary School,Catholic,82,-3,20,9,38,5
St Joseph's College School,Catholic,91,5,26,12,37,8
St Mary Catholic Academy Secondary School,Catholic,89,17,24,17,56,29
St Michael's Choir (Sr) School,Catholic,100,0,10,10,20,0
St Mother Teresa Catholic Academy Secondary School,Catholic,78,-1,30,10,25,15
St Oscar Romero Catholic Secondary School,Catholic,65,-5,23,22,57,17
St Patrick Catholic Secondary School,Catholic,93,14,33,11,48,23
St. Basil-the-Great College School,Catholic,76,0,25,23,38,10
St. Joseph Morrow Park Catholic Secondary School,Catholic,90,7,30,5,60,30
A Y Jackson Secondary School,Public,87,-4,25,5,74,9
Agincourt Collegiate Institute,Public,96,3,25,16,69,2
Albert Campbell Collegiate Institute,Public,82,4,25,17,80,13
Avondale Secondary Alternative School,Public,80,-6,30,10,30,0
Bendale Business & Technical Institute,Public,10,0,35,10,20,0
Birchmount Park Collegiate Institute,Public,73,5,30,10,37,6
Bloor Collegiate Institute,Public,89,-2,21,12,52,3
C W Jefferys Collegiate Institute,Public,62,-14,28,25,59,18
Cedarbrae Collegiate Institute,Public,76,9,32,16,55,10
Central Technical School,Public,48,-8,30,15,40,15
Central Toronto Academy,Public,80,9,26,13,48,17
City School,Public,72,3,25,5,10,0
Danforth Collegiate Institute and Technical School,Public,77,4,30,10,41,2
David and Mary Thomson Collegiate Institute,Public,63,2,33,16,63,15
Delphi Secondary Alternative School,Public,89,-11,20,10,40,10
Don Mills Collegiate Institute,Public,85,-3,25,9,56,8
Downsview Secondary School,Public,61,16,30,23,54,36
Dr Norman Bethune Collegiate Institute,Public,88,2,24,13,84,13
Earl Haig Secondary School,Public,95,2,32,3,61,15
East York Collegiate Institute,Public,70,4,27,9,45,10
Emery Collegiate Institute,Public,61,2,31,25,57,22
Etobicoke Collegiate Institute,Public,76,-9,17,5,38,10
Etobicoke School of the Arts,Public,96,-1,12,5,11,2
Forest Hill Collegiate Institute,Public,80,-9,17,4,41,18
George Harvey Collegiate Institute,Public,57,-16,27,21,64,41
George S Henry Academy,Public,85,10,35,10,70,25
Georges Vanier Secondary School,Public,79,17,31,5,78,30
Harbord Collegiate Institute,Public,94,4,19,11,28,3
Heydon Park Secondary School,Public,14,-15,30,15,25,0
Humberside Collegiate Institute,Public,92,0,13,4,19,3
Jarvis Collegiate Institute,Public,77,2,45,16,74,12
John Polanyi Collegiate Institute,Public,69,-11,25,12,59,27
Kipling Collegiate Institute,Public,46,-7,35,25,65,30
L'Amoreaux Collegiate Institute,Public,76,-3,29,15,74,17
Lakeshore Collegiate Institute,Public,72,3,21,8,32,14
Lawrence Park Collegiate Institute,Public,95,-3,10,1,15,3
Leaside High School,Public,97,1,15,4,27,2
Lester B Pearson Collegiate Institute,Public,83,7,21,13,62,6
Malvern Collegiate Institute,Public,95,0,11,2,8,1
Marc Garneau Collegiate Institute,Public,82,3,46,18,88,22
Martingrove Collegiate Institute,Public,86,4,22,13,44,5
Monarch Park Collegiate Institute,Public,88,5,22,8,32,3
Newtonbrook Secondary School,Public,64,-12,28,6,73,35
North Albion Collegiate Institute,Public,81,6,28,26,64,14
North Toronto Collegiate Institute,Public,93,-5,16,1,28,9
Northern Secondary School,Public,88,-2,15,3,16,3
Northview Heights Secondary School,Public,87,7,25,11,71,19
Oakwood Collegiate Institute,Public,60,-8,20,15,20,5
Oasis Alternative Secondary School,Public,54,-8,25,15,10,0
Parkdale Collegiate Institute,Public,84,5,28,16,49,8
R H King Academy,Public,90,0,24,6,55,5
Richview Collegiate Institute,Public,90,-2,14,6,22,2
Riverdale Collegiate Institute,Public,91,6,25,12,33,0
Rosedale Heights School of the Arts,Public,95,-1,17,7,12,2
Runnymede Collegiate Institute,Public,70,-3,31,20,39,4
SATEC @ W A Porter Collegiate Institute,Public,90,0,25,9,69,5
Silverthorn Collegiate Institute,Public,80,1,17,6,27,6
Sir John A Macdonald Collegiate Institute,Public,82,-7,23,8,62,8
Sir Oliver Mowat Collegiate Institute,Public,80,-3,11,4,17,2
Sir Wilfrid Laurier Collegiate Institute,Public,80,7,28,13,54,6
Stephen Leacock Collegiate Institute,Public,85,5,33,13,68,21
Thistletown Collegiate Institute,Public,89,10,30,20,50,5
Ursula Franklin Academy,Public,100,2,12,5,21,1
Victoria Park Collegiate Institute,Public,75,-11,27,7,64,7
West Hill Collegiate Institute,Public,70,2,26,10,37,11
West Humber Collegiate Institute,Public,86,13,22,19,58,7
Western Technical & Commercial School,Public,76,4,21,12,29,7
Weston Collegiate Institute,Public,65,0,31,23,50,11
Westview Centennial Secondary School,Public,46,7,38,33,47,13
Wexford Collegiate School for the Arts,Public,82,1,23,6,32,5
William Lyon Mackenzie Collegiate Institute,Public,94,4,19,5,50,16
Winston Churchill Collegiate Institute,Public,57,-12,31,11,59,13
Woburn Collegiate Institute,Public,82,3,28,12,65,7
York Memorial Collegiate Institute,Public,85,5,27,23,53,4
York Mills Collegiate Institute,Public,93,2,22,2,49,8
AAEC's/e-Learning,Public,29,8,15,7,8,1
Bracebridge and Muskoka Lakes Secondary School,Public,77,-7,12,3,3,1
Fenelon Falls Secondary School,Public,63,-7,16,10,0,0
Gravenhurst High School,Public,70,-11,20,10,0,0
Haliburton Highland Secondary School,Public,69,5,15,15,0,0
Huntsville High School,Public,79,1,13,5,2,1
I E Weldon Secondary School,Public,73,-14,13,5,0,1
Lindsay Collegiate and Vocational Institute,Public,63,-12,10,5,1,0
Almonte District High School,Public,75,-6,5,0,0,0
Athens District High School,Public,59,-17,15,0,10,0
Brockville Collegiate Institute,Public,79,-6,17,5,9,1
Carleton Place High School,Public,84,7,8,2,7,1
Charlottenburgh and Lancaster District High School,Public,95,3,10,10,5,0
Cornwall Collegiate and Vocational School,Public,52,-3,22,11,19,1
Gananoque Secondary School,Public,74,5,10,0,5,0
Glengarry District High School,Public,75,-8,20,5,5,5
North Dundas District High School,Public,77,-1,10,0,0,0
North Grenville District High School,Public,72,-2,9,1,4,0
Perth and District Collegiate Institute,Public,77,2,16,1,3,0
Rideau District High School,Public,75,-3,10,0,0,0
Rockland District High School,Public,66,-7,10,0,10,0
Russell High School,Public,73,-1,0,0,10,0
Seaway District High School,Public,67,0,20,0,0,0
Smiths Falls District Collegiate Institute,Public,69,3,16,3,5,1
South Grenville District High School,Public,60,-10,15,10,0,0
St Lawrence Secondary School,Public,49,-7,30,10,25,0
T R Leger School of Adult & Continuing Secondary School,Public,39,-11,20,7,5,1
Tagwi Secondary School,Public,69,-12,10,0,0,0
Thousand Islands Secondary School,Public,79,3,17,4,8,1
Vankleek Hill Collegiate Institute,Public,95,12,20,5,30,5
Centennial Collegiate and Vocational Institute,Public,91,6,8,1,26,2
Centre Dufferin District High School,Public,75,5,11,2,2,0
Centre Wellington District High School,Public,85,3,7,5,3,0
College Heights Secondary School,Public,31,6,10,5,0,0
Erin District High School,Public,86,-4,0,0,0,0
Guelph Collegiate and Vocational Institute,Public,88,3,11,6,29,1
John F Ross Collegiate and Vocational Institute,Public,86,-4,11,3,17,4
Norwell District Secondary School,Public,72,-5,10,28,12,2
Orangeville District Secondary School,Public,78,-1,11,4,6,2
Wellington Heights Secondary School,Public,73,-6,10,20,5,0
Westside Secondary School,Public,78,6,6,2,3,0
Monsignor Doyle Catholic Secondary School,Catholic,76,0,10,6,13,2
Resurrection Catholic Secondary School,Catholic,88,2,14,6,24,6
St Benedict Catholic Secondary School,Catholic,82,4,9,6,18,3
St David Catholic Secondary School,Catholic,84,-2,11,8,19,4
St Mary's High School,Catholic,79,7,15,7,34,10
Bluevale Collegiate Institute,Public,81,-5,10,3,16,1
Cameron Heights Collegiate Institute,Public,81,-2,15,7,43,2
Eastwood Collegiate Institute,Public,77,-2,21,11,37,20
Elmira District Secondary School,Public,84,-8,8,32,24,0
Forest Heights Collegiate Institute,Public,68,-10,18,10,40,19
Galt Collegiate and Vocational Institute,Public,77,-1,13,11,28,8
Glenview Park Secondary School,Public,68,1,13,8,17,0
Grand River Collegiate Institute,Public,75,-2,7,7,22,2
Huron Heights Secondary School,Public,74,-12,10,3,29,3
Jacob Hespeler Secondary School,Public,65,-14,6,4,11,1
Kitchener Waterloo Collegiate and Vocational School,Public,79,3,15,5,17,2
Preston High School,Public,79,-6,10,4,17,2
Sir John A Macdonald Secondary School,Public,85,2,12,3,36,4
Southwood Secondary School,Public,69,-12,7,6,5,1
Waterloo Collegiate Institute,Public,85,-4,16,6,45,16
Waterloo-Oxford District Secondary School,Public,79,-3,7,6,3,0
Bishop Macdonell Catholic Secondary School,Catholic,90,4,6,1,6,3
Our Lady of Lourdes Catholic School,Catholic,79,-8,12,6,26,15
St James Catholic School,Catholic,77,-7,9,5,6,1
Assumption College School,Catholic,82,-4,28,8,35,4
Cardinal Carter Catholic Secondary School,Catholic,92,9,12,18,10,2
Catholic Central,Catholic,75,10,41,19,76,47
F J Brennan Catholic High School,Catholic,86,2,20,6,11,2
Holy Names Catholic High School,Catholic,86,-3,19,6,20,2
St Anne Secondary School,Catholic,84,-6,7,2,7,0
St Joseph's High School,Catholic,85,0,18,7,24,2
St Thomas of Villanova Secondary School,Catholic,93,5,8,3,4,0
Cardinal Carter Catholic Secondary School,Catholic,84,-5,10,3,20,1
Father Bressani Catholic High School,Catholic,88,1,8,6,12,0
Father Michael McGivney Catholic High School,Catholic,97,4,18,11,50,7
Holy Cross Catholic Academy High School,Catholic,74,-2,9,7,14,1
Jean Vanier High School,Catholic,84,4,21,2,45,15
Our Lady of the Lake Catholic College High School,Catholic,66,-6,10,5,10,0
Sacred Heart Catholic High School,Catholic,84,1,11,4,29,8
St Augustine Catholic High School,Catholic,95,3,17,6,38,2
St Brother André Catholic High School,Catholic,83,-3,11,5,21,1
St Elizabeth Catholic High School,Catholic,87,5,11,5,28,7
St Jean de Brebeuf Catholic High School,Catholic,78,-7,10,8,22,1
St Joan of Arc Catholic High School,Catholic,83,6,10,6,22,8
St Maximilian Kolbe High School,Catholic,84,0,11,3,13,0
St Robert Catholic High School,Catholic,92,-5,20,3,62,6
St Theresa of Lisieux Catholic High School,Catholic,92,-3,13,1,31,1
Alexander MacKenzie High School,Public,88,1,18,2,55,9
Aurora High School,Public,94,3,10,3,24,2
Bayview Secondary School,Public,96,2,21,2,64,12
Bill Crothers Secondary School,Public,94,-2,13,4,9,1
Bur Oak Secondary School,Public,92,2,16,8,64,5
Dr G W Williams Secondary School,Public,90,3,10,3,41,5
Dr John M Denison Secondary School,Public,83,8,10,3,28,5
Emily Carr Secondary School,Public,87,0,7,4,13,2
Huron Heights Secondary School,Public,80,1,9,5,8,1
Keswick High School,Public,71,-3,11,7,4,0
King City Secondary School,Public,84,7,9,2,27,5
Langstaff Secondary School,Public,87,-6,21,3,60,10
Maple High School,Public,91,6,14,8,67,11
Markham District High School,Public,89,3,9,4,30,2
Markville Secondary School,Public,95,1,16,7,52,6
Middlefield Collegiate Institute,Public,88,-2,19,13,84,6
Milliken Mills High School,Public,88,-2,19,16,83,6
Newmarket High School,Public,92,-2,11,4,21,3
Pierre Elliott Trudeau High School,Public,97,4,20,7,61,7
Richmond Green Secondary School,Public,90,2,17,3,52,9
Richmond Hill High School,Public,92,-1,18,3,59,10
Sir William Mulock Secondary School,Public,82,-1,10,2,28,4
Stephen Lewis Secondary School,Public,91,1,11,3,52,5
Stouffville District Secondary School,Public,83,-4,10,5,28,2
Sutton District High School,Public,56,-4,10,5,5,0
Thornhill Secondary School,Public,89,-1,23,3,65,17
Thornlea Secondary School,Public,93,2,19,2,45,5
Tommy Douglas Secondary School,Public,86,3,10,10,54,5
Unionville High School,Public,93,0,23,5,61,8
Vaughan Secondary School,Public,90,2,12,4,48,3
Westmount Collegiate Institute,Public,91,-2,11,1,29,2
Woodbridge College,Public,83,1,9,7,56,7
